,id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
146,1044448,0.24000000000000002,f,1,1,Centrum-Oost,52.36377,4.91788,Entire home/apt,4,4,5,23,$650.00,3,30,t,1,14,33,251,35,0,0,3.88,f,0.32,,$162.5,$1950,14%,29%,27%,$10.99,0.6876712328767123,3101.301369863014
147,1055703,1.0,t,6,6,De Baarsjes - Oud-West,52.36051,4.86451,Entire home/apt,6,3,3,12,$291.00,7,180,t,5,5,9,247,107,15,3,4.97,f,0.97,,$48.5,$2037,9%,27%,21%,$4.99,0.6767123287671233,1456.5753424657535
148,1058082,0.86,f,0,0,De Baarsjes - Oud-West,52.36324,4.8679,Entire home/apt,2,1,1,14,$392.00,5,30,t,0,1,4,177,33,3,1,4.88,f,0.3,,$196,$1960,9%,18%,24%,$4.99,0.4849315068493151,1957.4931506849316
149,1064108,0.17,t,18,18,Centrum-West,52.38302,4.8869,Entire home/apt,2,1,1,6,$99.00,7,180,t,1,7,7,175,53,7,0,4.75,f,0.48,,$49.5,$693,6%,9%,15%,$4.99,0.4794520547945205,495.0
150,1068565,0.54,f,1,1,IJburg - Zeeburgereiland,52.36064,4.97643,Entire home/apt,4,1,1,1,$135.00,5,30,t,0,0,2,158,84,3,0,4.79,f,0.76,,$33.75,$675,8%,13%,20%,$4.99,0.4328767123287671,675.0
151,1071414,0.99,f,1,1,Oud-Oost,52.35764,4.9067,Entire home/apt,2,2,1,9,$189.00,3,21,t,4,4,9,9,372,42,6,4.81,f,3.36,,$94.5,$567,10%,23%,20%,$4.99,0.024657534246575342,945.0
152,1072171,0.0,f,1,1,Bos en Lommer,52.37729,4.86053,Entire home/apt,4,1,2,10,$107.00,7,365,t,0,0,0,155,12,0,0,4.33,f,0.11,,$26.75,$749,7%,14%,17%,$4.99,0.4246575342465753,535.6164383561644
153,1085099,0.67,f,0,0,Bos en Lommer,52.37839,4.84853,Entire home/apt,4,2,2,10,$200.00,2,60,t,0,0,0,0,93,0,0,4.8,f,0.84,,$50,$400,11%,20%,27%,$4.99,0.0,1000.0
154,1086795,1.0,t,15,15,Centrum-Oost,52.36218,4.89768,Private room,2,1,1,11,$193.00,3,365,t,3,14,42,106,17,6,1,4.63,t,0.18,,$96.5,$579,9%,23%,21%,$4.99,0.29041095890410956,1141.6712328767123
155,1088859,0.5700000000000001,f,1,1,De Baarsjes - Oud-West,52.36688,4.87684,Entire home/apt,2,1,1,4,$110.00,3,30,t,0,0,0,4,69,5,1,4.87,f,0.62,,$55,$330,7%,17%,18%,$4.99,0.010958904109589041,550.0
156,1095819,0.0,f,1,1,Oud-Oost,52.35696,4.92971,Entire home/apt,3,2,2,3,$180.00,3,10,t,0,0,0,0,17,0,0,4.82,f,0.24,,$60,$540,7%,20%,22%,$4.99,0.0,817.3972602739726
157,1102846,0.9,f,1,1,Centrum-Oost,52.36474,4.90273,Entire home/apt,3,1,2,5,$180.00,3,21,t,0,0,1,1,99,7,0,4.68,f,0.89,,$60,$540,7%,14%,15%,$4.99,0.0027397260273972603,900.0
158,1104125,1.0,f,1,1,De Baarsjes - Oud-West,52.36603,4.86833,Entire home/apt,2,1,1,11,$125.00,7,21,t,5,5,5,5,55,3,3,4.86,f,0.51,,$62.5,$875,6%,21%,20%,$4.99,0.0136986301369863,625.0
159,1105924,0.5,f,1,1,Watergraafsmeer,52.35339,4.94237,Entire home/apt,4,2,3,13,$250.00,4,1125,t,1,7,7,7,5,0,0,4.4,f,0.05,,$62.5,$1000,9%,24%,26%,$4.99,0.019178082191780823,1250.0
160,1116446,1.0,t,3,3,Bos en Lommer,52.37871,4.84688,Private room,2,1,1,1,$74.00,1,360,t,1,4,34,62,315,11,0,4.25,f,2.85,,$37,$74,6%,11%,16%,$2.99,0.16986301369863013,315.52054794520546
161,1132247,0.67,f,2,2,Westerpark,52.39054,4.88886,Entire home/apt,4,3,4,9,$325.00,3,1125,t,0,6,11,276,26,0,0,4.81,f,0.24,,$81.25,$975,12%,18%,32%,$4.99,0.7561643835616438,1625.0
162,1145866,0.96,t,3,3,Bos en Lommer,52.37802,4.84513,Private room,2,1,2,7,$85.00,1,60,t,7,34,34,34,285,9,2,4.65,f,2.62,,$42.5,$85,5%,8%,15%,$4.99,0.09315068493150686,431.36986301369865
